,fields used by students to decide on the labels,,,,,,dropdown list definitions,
http://n2t.net/ark:/65665/3002cf350-8658-4fd2-8d20-db41cc8dc7b0,Invertebrate Zoology,,"North Pacific Ocean, United States, California",V3278,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/300613c20-5560-4153-9c8e-ecb13fd7e3e3,Invertebrate Zoology,,"North Pacific Ocean, Gulf of California",Guaymas Basin,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/30077e8f7-05d9-4dc9-9e35-c21461041303,Invertebrate Zoology,,"North Pacific Ocean, Gulf of California, Mexico",T548,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/3007dd624-1421-460a-8e3f-5130a15000e4,Invertebrate Zoology,,North Pacific Ocean,San Clemente Seep,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/3008ae6b9-de07-4c9f-acfc-5d87d9e6afb5,Invertebrate Zoology,,"North Pacific Ocean, United States, California",Monterey Canyon,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/3008cf71f-c277-4442-9bf8-4102ead5813c,Invertebrate Zoology,,"North Pacific Ocean, United States, California",V1676,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/30094d115-5345-45c8-9e2b-05b7d6a40523,Invertebrate Zoology,,"North Pacific Ocean, United States, California",V1676,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/30096b78b-25d3-416c-8309-40c5e2e7a51a,Invertebrate Zoology,,"North Pacific Ocean, United States, California",Monterey Canyon,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/300b40a86-c12b-4ac9-8231-f4a2fccb75fc,Invertebrate Zoology,,"North Pacific Ocean, United States, California",V1682,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/300be2b18-f948-46b9-8532-5eb3cf5be19c,Invertebrate Zoology,,North Pacific Ocean,"Juan de Fuca Ridge, Middle Valley, Dead Dog","Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/300d43d8e-3b11-4820-afff-0d867ee7d2b4,Invertebrate Zoology,,"North Pacific Ocean, United States, California",Monterey Canyon,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/300d585eb-e918-40f0-95b2-70cbb9676b6f,Invertebrate Zoology,,"North Pacific Ocean, United States, California",T215,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/300deb8e4-ad3e-4dc6-a6a5-21b3802bf9c5,Invertebrate Zoology,,"North Pacific Ocean, United States, California",Monterey Canyon,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/30109f2a3-6412-46d8-a4a3-ea25797a4852,Invertebrate Zoology,,North Pacific Ocean,San Clemente Seep,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/3013ad5f0-5abd-415d-9a92-d172efe87fa7,Invertebrate Zoology,,"North Pacific Ocean, Mexico",T555,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/30144e83d-9a17-4e5f-a3a7-4d334e0b674b,Invertebrate Zoology,,"North Pacific Ocean, United States, California",V3278,"Animalia, Mollusca, Bivalvia, Vesicomyidae",,Marine water body bottom,Bivalvia can be marine or freshwater; need some marine geography keywords to distinguish. Bivalves are bottom dwellers
http://n2t.net/ark:/65665/30099f144-2e90-4096-8a58-20744fc1f14e,Invertebrate Zoology,,"North Pacific Ocean, United States, Hawaii",,"Animalia, Mollusca, Cephalopoda, Coleoidea, Decapodiformes, Oegopsida, Ommastrephidae, Ommastrephinae",,Marine water body,squid
http://n2t.net/ark:/65665/3004aac12-75d8-484c-acb1-179dff994339,Invertebrate Zoology,,"North Atlantic Ocean, United States, Massachusetts","Bear Seamount, north","Animalia, Mollusca, Cephalopoda, Coleoidea, Decapodiformes, Teuthida, Enoploteuthidae",Marine water body,Marine water body,squid
http://n2t.net/ark:/65665/301327d05-2ff0-4b3f-8853-95216e2fadf6,Invertebrate Zoology,,"North Atlantic Ocean, United States","Bear Seamount, over seamount","Animalia, Mollusca, Cephalopoda, Coleoidea, Decapodiformes, Teuthida, Octopoteuthidae",,Marine water body,squid
http://n2t.net/ark:/65665/3009ec722-de7a-4c2d-aa15-ccbcebd6776b,Invertebrate Zoology,,"North Atlantic Ocean, United States","Bear Seamount, east of seamount","Animalia, Mollusca, Cephalopoda, Coleoidea, Decapodiformes, Teuthida, Ommastrephidae",,Marine water body,squid
http://n2t.net/ark:/65665/3007b8dab-9df8-48b2-96fe-07194240191d,Invertebrate Zoology,,"North Atlantic Ocean, United States","Bear Seamount, east of seamount","Animalia, Mollusca, Cephalopoda, Coleoidea, Octopodida, Bolitaenidae",,Marine water body,squid
http://n2t.net/ark:/65665/30000d403-f44f-498c-b7e3-ca1df52a2391,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Forereef between MPA Pole and Sheraton","Animalia, Mollusca, Gastropoda",Marine water body bottom,Marine water body bottom,
http://n2t.net/ark:/65665/300078336-35f6-4477-ad05-54c10ce613b4,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Mollusca, Gastropoda",Marine water body,Marine water body,collection method- 'Net - Plankton' implies were sampling the water body...
http://n2t.net/ark:/65665/3013c46d1-fea8-4bad-94de-d6e51f109404,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Raiatea",Thallus 12,"Animalia, Mollusca, Gastropoda",,Marine water body bottom,
http://n2t.net/ark:/65665/3007a3f3c-753a-4e5d-a42e-0ec5d887f132,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County",Qochyax Island,"Animalia, Mollusca, Gastropoda, Aldisidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3005b3627-7794-452d-9ef0-85687e5a28e5,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands",Thallus 9,"Animalia, Mollusca, Gastropoda, Aplysiidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3000ff086-55d6-4f50-81a9-fc07e565e180,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida",Gulf Stream off Fort Pierce,"Animalia, Mollusca, Gastropoda, Bursidae","Marine water body,
Subaerial surface environment",Marine water body bottom,
http://n2t.net/ark:/65665/300fd23b1-7077-46a8-8be3-3c021b12f429,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Cook's Bay Pass, E outer wall margin","Animalia, Mollusca, Gastropoda, Caenogastropoda, Neogastropoda, Fasciolariidae, Peristerniinae",,Marine water body bottom,
http://n2t.net/ark:/65665/3002757f8-915b-44cc-b6e7-a8c904ef1086,Invertebrate Zoology,,"North Pacific Ocean, United States, California, Los Angeles County","California, Los Angeles County, Port of Los Angeles","Animalia, Mollusca, Gastropoda, Calyptraeidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/300278a36-7e57-4ceb-9089-cf8fb9bbe69b,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Cook's Bay, off Gump Station","Animalia, Mollusca, Gastropoda, Cerithiidae","Marine water body,
Subaerial surface environment",Marine water body bottom,
http://n2t.net/ark:/65665/300d78104-1dc1-4bdd-95c6-c1c623705ab4,Invertebrate Zoology,"rubble, reef, hard ground","North Pacific Ocean, Kaneohe Bay, United States, Hawaii, Honolulu County",barrier reef South of Kekapa Island,"Animalia, Mollusca, Gastropoda, Cerithiidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3006133a3-72e0-42ad-9026-59ab2bf26367,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia","E side of Opunohu Bay, about 1 km N of Criobe, near white tower in water","Animalia, Mollusca, Gastropoda, Cerithiopsidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300a88260-36ad-4308-b8ae-288a38ca6ae9,Invertebrate Zoology,,"South Pacific Ocean, Papua New Guinea",Dobu; coral,"Animalia, Mollusca, Gastropoda, Columbellidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300fc17ee-62ed-43b3-9a7d-8b22efd25885,Invertebrate Zoology,,"North Pacific Ocean, Kaneohe Bay, United States, Hawaii, Honolulu County","Coconut Island, Lanai Suite sand flat","Animalia, Mollusca, Gastropoda, Conidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300f7dc93-81d3-4209-ba10-9f76988ec0e0,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, In front of Hilton","Animalia, Mollusca, Gastropoda, Costellariidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3013b5e93-6404-4942-b023-357126d10f0e,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, East of Cook's Bay","Animalia, Mollusca, Gastropoda, Cypraeidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3001dd4eb-155c-4d27-9ceb-d26ce293fab1,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, NW Motus in channel between motus","Animalia, Mollusca, Gastropoda, Discodorididae",Marine water body,Marine water body bottom,sea slugs
http://n2t.net/ark:/65665/300c93d4f-29e4-49df-b0d1-61789575b944,Invertebrate Zoology,,"United States, Maryland, Worcester County","Chincoteague Bay, George Island Landing","Animalia, Mollusca, Gastropoda, Ellobiidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3003f8e48-5278-4537-bb28-b2229f7e16c5,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Gump Station, in front of water bungalows","Animalia, Mollusca, Gastropoda, Elysiidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/300473935-afa7-47eb-9bc9-8eaf5a030f71,Invertebrate Zoology,"fine sand and silt with massive corals, rocks, branching corals","South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Papeotai","Animalia, Mollusca, Gastropoda, Elysiidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/300b0386e-f76c-4159-9e13-2d010970592b,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Near lighthouse","Animalia, Mollusca, Gastropoda, Eulimidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300c6aa36-fd75-492c-b3a5-ca8a322546ea,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, In front of Gump Station bungalows","Animalia, Mollusca, Gastropoda, Eulimidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300fb0cce-1c5a-4195-8d69-4c5829f56da0,Invertebrate Zoology,brushed from under rubble,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, mid N coast, off Sheraton Hotel","Animalia, Mollusca, Gastropoda, Haminoeidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300f83469-7d2c-4f82-8b2c-593bea413293,Invertebrate Zoology,,"North Pacific Ocean, Kaneohe Bay, United States, Hawaii, Honolulu County",North of Kekepa Island,"Animalia, Mollusca, Gastropoda, Heterobranchia, Acochlidiacea, Parhedylidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300338dc0-e7e8-4b1f-8664-e712f50eedd5,Invertebrate Zoology,,"North Atlantic Ocean, Panama",Crawl Cay,"Animalia, Mollusca, Gastropoda, Heterobranchia, Nudibranchia, Dexiarchia, Tergipedidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/3007566b4-1755-468e-99b2-29f8826b5c85,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, SE corner of Island, near Maatea, just off road","Animalia, Mollusca, Gastropoda, Heterobranchia, Nudibranchia, Euctenidiacea, Dorididae",,Marine water body bottom,
http://n2t.net/ark:/65665/301402abb-ba28-48f0-9624-5c5776fb3699,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County",Baltimore Rock,"Animalia, Mollusca, Gastropoda, Heterobranchia, Nudibranchia, Euctenidiacea, Dorididae",,Marine water body bottom,
http://n2t.net/ark:/65665/3010b8d12-8200-4125-b3a4-972c74d4bfaf,Invertebrate Zoology,,"United States, Oregon, Malheur County",Tree Spring,"Animalia, Mollusca, Gastropoda, Hydrobiidae",,"Lake, river or stream bottom",
http://n2t.net/ark:/65665/30013ceb2-2b0f-44c8-9d5c-d2defb67f982,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County",Mussel Point (AKA Yoakam Point),"Animalia, Mollusca, Gastropoda, Littorinidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/300a83948-49c3-4faa-9fc0-9e1c687bbb81,Invertebrate Zoology,,"United States, Maryland, Anne Arundel County","Rhode River, Fox Point Marsh","Animalia, Mollusca, Gastropoda, Littorinidae",,Marine water body bottom,"Littorinidae are sea snails, location in marsh at river-sea interface; go with marine"
http://n2t.net/ark:/65665/300411e39-416a-49c5-b239-eb430a8862cf,Invertebrate Zoology,,"North Pacific Ocean, United States, California, Ventura County","MARINe Site, Malibu","Animalia, Mollusca, Gastropoda, Lottiidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/300719072-b54a-4c7e-8e7c-c329414fffc5,Invertebrate Zoology,,"United States, Maryland, Anne Arundel County","SERC, Administration Pond","Animalia, Mollusca, Gastropoda, Lymnaeidae",,"Lake, river or stream bottom",
http://n2t.net/ark:/65665/30063c443-49fb-4cec-a593-a6268daa58ea,Invertebrate Zoology,,"North Atlantic Ocean, Chesapeake Bay, United States, Virginia, Northampton County","Lower Chesapeake Bay, 1.4 km NE of Red #40","Animalia, Mollusca, Gastropoda, Naticidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300298ff4-fe5c-4df7-88bd-869b100c718c,Invertebrate Zoology,,"Chesapeake Bay, United States, Maryland, Anne Arundel County",Rhode River Mouth,"Animalia, Mollusca, Gastropoda, Nudibranchia, Corambidae","Terrestrial water body,
Subaerial surface environment",Marine water body bottom,"Nudibranchs are a group of soft-bodied, marine gastropod molluscs; Nudibranchs are benthic animals, found crawling over the substrate"
http://n2t.net/ark:/65665/300298c0f-f686-424a-bf18-b70b2166da87,Invertebrate Zoology,,"United States, Alabama, Hale County",Black Warrior River between locks 5-6,"Animalia, Mollusca, Gastropoda, Pachychilidae","Terrestrial water body,
Subaerial surface environment","Lake, river or stream bottom",Pachychilids are freshwater snails
http://n2t.net/ark:/65665/3004e5240-c7e2-4f5a-8310-c5307fb9d74d,Invertebrate Zoology,,"United States, Mississippi, Noxubee County","Noxubee River at US Hwy 45, approx. 0.54 road mi. NNE of junction US 45 & US 45 Business south of Macon","Animalia, Mollusca, Gastropoda, Pachychilidae",,"Lake, river or stream bottom",Pachychilids are freshwater snails
http://n2t.net/ark:/65665/300b185b5-2bfe-4b6e-ac81-eb865b540a54,Invertebrate Zoology,,"United States, Alabama, Jefferson County","Turkey Creek, Tapawingo Rd.","Animalia, Mollusca, Gastropoda, Pachychilidae",,"Lake, river or stream bottom",Pachychilids are freshwater snails
http://n2t.net/ark:/65665/300ead54a-e274-4ccd-b9ca-37f57b85e362,Invertebrate Zoology,,"United States, Washington, Mason County","Spider Lake, off of FR 23","Animalia, Mollusca, Gastropoda, Pachychilidae",,"Lake, river or stream bottom",Pachychilids are freshwater snails
http://n2t.net/ark:/65665/301173989-b834-43f4-83fb-c5b8867b11ba,Invertebrate Zoology,,"United States, Washington, Clark County","Burnt Bridge Creek. Bridge at NE 110th Ave, Vancouver","Animalia, Mollusca, Gastropoda, Pachychilidae",,"Lake, river or stream bottom",Pachychilids are freshwater snails
http://n2t.net/ark:/65665/3012ab5bc-c3b3-4e39-b2dc-3013754487d1,Invertebrate Zoology,,"United States, Tennessee, Davidson County",Harpeth River at TN 100 in Harpeth River State Park,"Animalia, Mollusca, Gastropoda, Pachychilidae",,"Lake, river or stream bottom",Pachychilids are freshwater snails
http://n2t.net/ark:/65665/300fda4ec-e5ed-4f54-a9a7-6bdc0c7a948c,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida",Gulf Stream off Fort Pierce,"Animalia, Mollusca, Gastropoda, Pteropoda, Thecosomata, Euthecosomata, Cavoliniidae",,Marine water body,a pelagic sea snail
http://n2t.net/ark:/65665/30106fd84-ca00-4943-b90f-6e104527e5aa,Invertebrate Zoology,,"United States, Maryland, Anne Arundel County","Rhode River, Sellman Creek, High Marsh","Animalia, Mollusca, Gastropoda, Succineidae",,Subaerial surface environment,"Succineidae are a family of small to medium-sized, air-breathing land snails"
http://n2t.net/ark:/65665/300e3ffd2-6947-4287-b651-9df260970460,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County",Charlie's Grotto,"Animalia, Mollusca, Polyplacophora, Mopaliidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300ff1dd5-b0aa-4528-af0b-b445256f682f,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida",Florida Current of Gulf Stream,"Animalia, Mollusca, Pteropoda",,Marine water body,free-swimming pelagic sea snails and sea slugs
http://n2t.net/ark:/65665/3009bc909-2cba-4740-9eb5-58030e6536cb,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon",off Nehalem,"Animalia, Mollusca, Scaphopoda, Pulsellidae",,Marine water body bottom,Scaphopoda is a class of shelled marine mollusc
http://n2t.net/ark:/65665/30080d95f-62e3-4402-94a5-b142412f8719,Invertebrate Zoology,,"United States, Nevada, White Pine County",Ruby Mountains; Overland Pass,"Animalia, Nematoda",,Subaerial surface environment,
http://n2t.net/ark:/65665/30024af11-ea7a-45ce-a31d-61e5a7dbdb85,Invertebrate Zoology,,"North Atlantic Ocean, Gulf of Mexico, United States, Texas",Mustand Island State Park S,"Animalia, Nematoda, Adenophorea, Chromadorida, Comesomatidae",Subaerial surface environment,Subaerial surface environment,
http://n2t.net/ark:/65665/3012a0b92-a2a2-40a2-ac07-9bc0943a293a,Invertebrate Zoology,,"Central America, North Pacific Ocean, Gulf of Panama, Panama",,"Animalia, Nematoda, Adenophorea, Enoplida, Enchelidiidae",,Marine water body,
http://n2t.net/ark:/65665/300525ef6-e9a9-45ae-9a5f-7734e0692c7f,Invertebrate Zoology,,"United States, New Mexico, Harding County",East rim of Mills Canyon at Mills Canyon Road,"Animalia, Nematoda, Chromadorea, Oxyurida, Heteroxynematidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3005de268-d3e6-4774-9ccf-0fea108513d5,Invertebrate Zoology,,"United States, Colorado, Conejos County","San Juan Mountains; Rough Canyon (FR250), along Alamosa River","Animalia, Nematoda, Secernentea, Spirurida",,Subaerial surface environment,Nematoda can be subaerial or subaqueous; many live in soil. Guess subaerial surface envionment here.
http://n2t.net/ark:/65665/30127e61b-f767-4e96-80ef-897ac262f4dc,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Forereef between MPA Pole and Sheraton","Animalia, Nemertea, Anopla, Heteronemertea, Lineiformes",,Marine water body bottom,
http://n2t.net/ark:/65665/300f5b87d-8989-469d-ba4b-2a0597108735,Invertebrate Zoology,,"North Atlantic Ocean, United States, Virginia, Accomack County","Cedar Island, bayside of north end, channel","Animalia, Nemertea, Enopla, Hoplonemertea, Monostilifera, Amphiporidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3003e87f8-683a-4204-98bd-a42a9e382499,Invertebrate Zoology,,"North Pacific Ocean, United States, Hawaii",Makapu'u point Hawaii Pacific University Oceanographic institute; Shoreline Intertidal,"Animalia, Nemertea, Enopla, Hoplonemertea, Monostilifera, Ototyphlonemertidae",Laboratory or curation environment,Marine water body bottom,
http://n2t.net/ark:/65665/300ddc1c9-454d-493f-9689-8215377b9655,Invertebrate Zoology,,"North Pacific Ocean, Kaneohe Bay, United States, Hawaii, Honolulu County","Kapapa Island, Northeast side","Animalia, Platyhelminthes, Turbellaria, Polycladida, Pseudocerotidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300251387-05b9-47cc-a1d6-a1bfd8848c34,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Porifera",Marine water body,Marine water body bottom,porifera are sponges
http://n2t.net/ark:/65665/300930456-6a86-4e2a-8d1f-8b22b8f110a1,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Porifera",,Marine water body bottom,
http://n2t.net/ark:/65665/30075342a-cbac-4ef1-b3a0-eeace8d6407e,Invertebrate Zoology,,"North Atlantic Ocean, Caribbean Sea, Dominica",western coast of Dominica,"Animalia, Porifera, Demospongiae",,Marine water body bottom,
http://n2t.net/ark:/65665/300e6545f-294b-4a45-8624-269a3a22cf25,Invertebrate Zoology,,"North Atlantic Ocean, United States",Stetson Mesa North,"Animalia, Porifera, Demospongiae, Astrophorida, Geodiidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3004d4d25-23af-44de-b514-ec2f287ecb86,Invertebrate Zoology,in Polycyathus (?),"South Pacific Ocean, French Polynesia",off Gump Reef,"Animalia, Porifera, Demospongiae, Dictyoceratida",Marine water body bottom,Marine water body bottom,
http://n2t.net/ark:/65665/300b7d772-d35c-40f8-9ba2-c1f72e883cad,Invertebrate Zoology,,"Chesapeake Bay, United States, Maryland, Caroline County",Upper Choptank River,"Animalia, Porifera, Demospongiae, Haplosclerida, Spongillidae",,"Lake, river or stream bottom",Spongilidae is a family of sponges that live in freshwater lakes and rivers
http://n2t.net/ark:/65665/3005e60a9-eb4b-4f8d-bf2a-adb20c7c54ea,Invertebrate Zoology,,"North Atlantic Ocean, Caribbean Sea, Panama, Bocas del Toro",Punta Caracol,"Animalia, Porifera, Demospongiae, Poecilosclerida, Myxillina, Iotrochotidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3002d619b-8ffb-4533-8053-8c328276f7a6,Botany,,"West Indies - Neotropics, Bahamas, Hope Town, Abaco Is., No Name Key",Abacos. No Name Key. Catacombs dive site.,"Chromista, Ochrophyta, Dictyotales, Dictyotaceae",,Marine water body bottom,seaweed
http://n2t.net/ark:/65665/300c5a13e-73a3-4eb3-8e11-557d53886a2d,Botany,,"West Indies - Neotropics, Netherlands Antilles,  Lesser Antilles, Bonaire",Bonaire. NE of Lac Bay. Cai  dive site.,"Chromista, Ochrophyta, Dictyotales, Dictyotaceae",,Marine water body bottom,
http://n2t.net/ark:/65665/3013a720c-32dd-4f30-a2d2-ca98e9de844a,Botany,,"West Indies - Neotropics, Martinique,  Lesser Antilles",Rocher la Perle,"Chromista, Ochrophyta, Dictyotales, Dictyotaceae",,Marine water body bottom,
http://n2t.net/ark:/65665/30018d5f1-5924-4a04-8722-ca21bab5f83b,Botany,,"Pacific Islands, Kāneʻohe Bay, United States, Hawaii,  Honolulu, Hawaiian Archipelago, Oahu","Kāneʻohe Bay, Kapaka Island, N/NE of island and some in the intertidal zone","Chromista, Ochrophyta, Fucales, Sargassaceae","Marine water body,
Subaerial surface environment",Marine water body bottom,seaweed
http://n2t.net/ark:/65665/30051e302-d5c7-4407-988c-1a0a49a9a8ff,Botany,,"Pacific Islands, Kāneʻohe Bay, United States, Hawaii,  Honolulu, Hawaiian Archipelago, Oahu","Kāneʻohe Bay, Kapaka Island, N/NE of island and some in the intertidal zone","Chromista, Ochrophyta, Fucales, Sargassaceae",,Marine water body bottom,seaweed
http://n2t.net/ark:/65665/300715ff9-1846-4d65-86b8-7dd558ee9160,Botany,,"Pacific Islands, Kāneʻohe Bay, United States, Hawaii,  Honolulu, Hawaiian Archipelago, Oahu","Kāneʻohe Bay, Kapaka Island, N/NE of island and some in the intertidal zone","Chromista, Ochrophyta, Fucales, Sargassaceae",,Marine water body bottom,
http://n2t.net/ark:/65665/300251bf6-fb19-404a-a157-f2b090508be0,Botany,,"Central America - Neotropics, Panama, Chiriquí, Ladrones","Islas Ladrones. Diablo's Mesa, N of big island","Chromista, Ochrophyta, Phaeophyceae, Dictyotales, Dictyotaceae",Marine water body,Subaerial surface environment,
http://n2t.net/ark:/65665/3006b0969-1d39-4d3e-a4e0-03db3bfa1b24,Botany,,"Central America - Neotropics, Belize, Tobacco Range",Fracture Zone,"Chromista, Ochrophyta, Phaeophyceae, Dictyotales, Dictyotaceae",,Marine water body bottom,
http://n2t.net/ark:/65665/300d572e0-c73e-46ba-9e0d-1a539a6a22c7,Botany,,"West Indies - Neotropics, Bahamas, Hope Town, Abaco Is., No Name Key",Abacos. No Name Key. Golden Grotto dive site.,"Chromista, Ochrophyta, Phaeophyceae, Dictyotales, Dictyotaceae",,Marine water body bottom,
http://n2t.net/ark:/65665/301048948-888d-481e-a281-7cde5ef75399,Botany,,"West Indies - Neotropics, Netherlands Antilles,  Lesser Antilles, Bonaire",Bonaire. NE of Lac Bay. Cai  dive site.,"Chromista, Ochrophyta, Phaeophyceae, Dictyotales, Dictyotaceae",,Marine water body bottom,
http://n2t.net/ark:/65665/300636904-9688-4af4-bc2b-e2d768a3e75a,Botany,,"Central America - Neotropics, Belize, Stann Creek, Pelican Cays, Fisherman's Cay",Pelican Cays. Fisherman's Cay. Great Bay.,"Chromista, Ochrophyta, Ralfsiales, Ralfsiaceae",,Marine water body bottom,
http://n2t.net/ark:/65665/3003fa56c-148d-42f0-ba0f-a75c3bcacade,Botany,,"Central America - Neotropics, Belize",Gill Reef. Taphonomy site,"Eubacteria, Cyanobacteria, Indet., Indet.",Marine water body bottom,Marine water body bottom,"since says 'Reef' guess Marine water body bottom, but looking at record its hard to tell what the heck this is."
http://n2t.net/ark:/65665/300ac521f-73ba-4261-a562-35630e74a5a5,Botany,,"West Indies - Neotropics, Bahamas, Exuma, Lee Stocking",Exumas. Lee Stocking Is. North Perry site.,"Eubacteria, Cyanobacteria, Indet., Indet.",,Marine water body bottom,
